Scenario,TID,Test Data,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Steps to Execute,Expected Result (Exec),Actual Result (Exec),Status,Executed QA Name,Misc (Comments),Priority,Is Automated
Create A/B Test with two variations,TC-001,"Experiment: Homepage headline test. Variation A: Original headline. Variation B: New headline. Target metric: Sign-up clicks. Source: PRD §4.1, §5.1",Verify that a user can create an A/B test with two variations and define custom goals. Positive scenario.,User has a VWO account with experimentation privileges. Existing website property added.,1. Log in to app.vwo.com. 2. Navigate to Create Experiment > A/B Test. 3. Enter experiment name: 'Headline Test'. 4. Add Variation B (copy of original). 5. Select target metric: 'Sign-up clicks'. 6. Save as draft.,Experiment created successfully. Draft saved. Variations list shows 'Original' and 'Variation B'. Custom goal 'Sign-up clicks' is attached.,,1. Log in to app.vwo.com. 2. Navigate to Create Experiment > A/B Test. 3. Fill all required fields.,Experiment saved as draft. Variations listed. Goal attached.,,,Traceable to PRD §4.1 (A/B Testing) and §5.1. Inference: VWO requires property selection – not specified in PRD but standard.,High,No,
Launch A/B Test with audience segmentation,TC-002,Segment: Mobile users only (inferred device type). PRD §4.1 Audience targeting.,Verify that a test can be launched after audience targeting is applied. Positive scenario.,Experiment 'Headline Test' exists as draft.,1. Open experiment from TC-001. 2. Click 'Audience targeting'. 3. Select 'Device: Mobile'. 4. Click 'Launch'.,Test status changes to 'Running'. Audience filter applied. No validation errors.,,1. Open experiment. 2. Apply mobile-only audience. 3. Launch test.,Status = Running. Audience = Mobile only.,,,Traceable to PRD §4.1 (Audience targeting based on behaviors). Inference: Device type segmentation is common but not explicitly in PRD.,High,No,
View SmartStats results for completed test,TC-003,Test data: Completed A/B test with 5000 visitors per variation. PRD §4.1 SmartStats.,Verify that Bayesian-powered SmartStats engine generates statistically validated results. Positive scenario.,Completed A/B test with sufficient traffic.,1. Navigate to Experiments > Completed. 2. Select a test with >7 days runtime. 3. Click 'Results' tab.,"Report shows: probability to be best, confidence intervals, uplift percentage. No 'insufficient data' message.",,1. Open completed test. 2. Click Results tab.,Bayesian report displays with statistical validation.,,,Traceable to PRD §4.1: 'Bayesian-powered Intelligent stats engine (SmartStats) for accurate results.',High,No,
View heatmap on a landing page,TC-004,Page URL: homepage (inferred). PRD §4.2 Heatmaps.,Verify that a user can generate and view a click heatmap. Positive scenario.,VWO Insights enabled for the property. Tracking script installed >24h.,1. Go to VWO Insights > Heatmaps. 2. Select a page URL. 3. Choose 'Click heatmap' type.,Heatmap visualization loads. Color gradient shows click density. Page overlay is interactive.,,1. Open Heatmaps. 2. Select page and heatmap type.,Heatmap displays with click aggregation.,,,"Traceable to PRD §4.2: 'Heatmaps (click, scroll, focus)' and §5.2 step 2.",Medium,No,
Create a session recording and replay,TC-005,Test data: Any user session recorded within last 24h. PRD §4.2 Session recordings.,Verify that session recordings can be accessed and replayed. Positive scenario.,VWO Insights session recording enabled. At least one user session captured.,1. Navigate to VWO Insights > Session Recordings. 2. Select a recorded session from list. 3. Click 'Replay'.,"Session replay starts. Mouse movements, clicks, scrolls, page navigations are visible.",,1. Open Session Recordings. 2. Select a session. 3. Click Replay.,Replay plays without errors.,,,Traceable to PRD §4.2: 'Session recordings' and §5.2 step 2.,Medium,No,
Create A/B test with invalid variation (empty variation name),TC-006,Variation name: '' (empty string). PRD §4.1 Experimentation & Testing. Negative scenario.,Verify that system prevents saving an experiment with empty variation name. Negative scenario.,User logged in. Create Experiment wizard open.,1. Begin A/B test creation. 2. Add a new variation. 3. Leave variation name blank. 4. Click 'Save' or 'Next'.,Error message appears: 'Variation name is required' or similar. Experiment not saved.,,1. Create A/B test. 2. Add variation with no name. 3. Attempt to save.,Error displayed. No test created.,,,Traceable to PRD §4.1. Inference: Name validation not explicitly stated but essential for enterprise systems.,Medium,No,
Launch test without selecting any metric,TC-007,No goal or metric selected. PRD §4.1 'Custom goals and metric configurations' – implies metric is required. Negative scenario.,Verify that test launch fails when no conversion metric is configured. Negative scenario.,Experiment created but has no goal/metric assigned.,1. Open an experiment with no custom goal. 2. Attempt to click 'Launch'.,System displays error or disables Launch button. Message: 'At least one goal must be configured'.,,1. Open metric-less experiment. 2. Try to launch.,Launch prevented. Error shown.,,,Traceable to PRD §4.1: 'Custom goals and metric configurations aligned with business KPIs.' Inference: Metric is mandatory.,High,No,
Session recording with insufficient data (no sessions in last 7 days),TC-008,No recorded sessions. PRD §4.2 Session recordings. Negative scenario.,Verify that empty state is shown when no session recordings exist. Negative scenario.,VWO Insights enabled but zero user sessions recorded (new property or low traffic).,1. Navigate to VWO Insights > Session Recordings. 2. Apply date filter: Last 7 days.,Message displayed: 'No sessions recorded' or equivalent. No replay option shown. UI does not break.,,1. Open Session Recordings. 2. View with zero sessions.,Empty state message displayed gracefully.,,,Traceable to PRD §4.2. Inference: Empty state behavior is not specified but required for robustness.,Low,No,
Attempt to view SmartStats results before test has sufficient traffic,TC-009,"Test runtime: 2 hours, visitors: 50 per variation. PRD §4.1 SmartStats requires statistical significance. Negative scenario.",Verify that SmartStats reports 'insufficient data' instead of false conclusive results. Negative scenario.,Running test with low traffic (< minimum detectable effect threshold).,1. Open an active low-traffic test. 2. Click 'Results' tab.,SmartStats shows message: 'Not enough data yet' or 'Continue test.' No conclusive winner declared.,,1. Open low-traffic test results.,System refuses to declare a winner.,,,Traceable to PRD §4.1: 'Accurate results' – implies no false positives. Inference: Low-traffic guardrail is necessary.,High,No,
System response time for dashboard load under peak traffic,TC-010,"Simulated load: 10,000 concurrent users (inferred). PRD §7 Performance: 'System responds within 2 seconds for editing workflows.'",Verify that VWO dashboard loads within 2 seconds under normal load. Non-functional – performance.,User logged in. Network latency normal (<100ms).,1. Log in to app.vwo.com. 2. Click 'Experiments' dashboard. 3. Measure time from click to fully loaded UI.,Dashboard loads completely within 2 seconds.,,1. Log in. 2. Navigate to Experiments. 3. Measure load time.,Load time ≤ 2 seconds.,,,Traceable to PRD §7 Non-Functional Requirements: 'System responds within 2 seconds for editing workflows.',High,No,
